% EV id; departure time; arrival time; SoE0

% Zone A
EV1;14:45:00;14:30:00;0.6500
EV2;14:44:00;14:28:00;0.6500
EV3;14:50:00;13:30:00;0.5375
EV4;14:15:00;14:00:00;0.6500
EV5;14:30:00;14:15:00;0.6500
EV6;14:30:00;14:15:00;0.6500
EV7;14:31:00;14:15:00;0.6500
EV8;14:31:00;14:15:00;0.6500
EV9;15:00:00;14:45:00;0.6500
EV10;15:06:00;14:45:00;0.6330
EV11;15:12:00;14:46:00;0.6150
EV12;15:18:00;14:46:00;0.5950
EV13;15:24:00;14:47:00;0.5800
EV14;18:00:00;8:50:00;0.6306
EV15;18:00:00;8:00:00;0.6600
EV16;17:26:00;10:33:00;0.4500
EV17;18:00:00;9:21:00;0.4684
EV18;18:00:00;8:00:00;0.5498
EV19;18:00:00;8:45:00;0.5112
EV20;18:00:00;9:11:00;0.4730
EV21;18:00:00;8:04:00;0.6597
EV22;18:00:00;8:00:00;0.5977
EV23;18:00:00;8:40:00;0.6571
EV24;18:00:00;9:12:00;0.4865
EV25;18:00:00;8:28:00;0.4900
EV26;18:00:00;8:58:00;0.6077
EV27;18:00:00;8:00:00;0.5000
EV28;17:28:00;10:32:00;0.6500
EV29;18:00:00;9:27:00;0.6532
EV30;18:00:00;9:45:00;0.4864
EV31;17:28:00;10:31:00;0.6157
EV32;18:00:00;9:16:00;0.4709
EV33;18:00:00;8:03:00;0.6598
EV34;18:00:00;8:00:00;0.6600
EV35;18:00:00;8:00:00;0.5939
EV36;18:00:00;9:02:00;0.5301
EV37;18:00:00;8:39:00;0.4858
EV38;18:00:00;8:09:00;0.6593
EV39;18:00:00;9:07:00;0.6230
EV40;18:00:00;8:22:00;0.6482
EV41;18:00:00;8:57:00;0.6558
EV42;18:00:00;8:47:00;0.4827
EV43;18:00:00;9:47:00;0.6513
EV44;17:42:00;10:17:00;0.4500
EV45;17:04:00;10:55:00;0.6133
EV46;18:00:00;8:28:00;0.5817
EV47;18:00:00;9:20:00;0.5310
EV48;18:00:00;8:00:00;0.5000
EV49;18:00:00;8:00:00;0.6600
EV50;18:00:00;8:30:00;0.5961
EV51;18:00:00;8:00:00;0.5000
EV52;17:46:00;10:13:00;0.6389
EV53;18:00:00;9:03:00;0.6553
EV54;18:00:00;8:00:00;0.6600
EV55;18:00:00;8:00:00;0.5000


% Zone B
EV1(1);14:45:00;14:30:00;0.6500
EV2(1);14:44:00;14:28:00;0.6500
EV3(1);14:50:00;13:30:00;0.5375
EV4(1);14:15:00;14:00:00;0.6500
EV5(1);14:30:00;14:15:00;0.6500
EV6(1);14:30:00;14:15:00;0.6500
EV7(1);14:31:00;14:15:00;0.6500
EV8(1);14:31:00;14:15:00;0.6500
EV9(1);15:00:00;14:45:00;0.6500
EV10(1);15:06:00;14:45:00;0.6330
EV11(1);15:12:00;14:46:00;0.6150
EV12(1);15:18:00;14:46:00;0.5950
EV13(1);15:24:00;14:47:00;0.5800
EV14(1);18:00:00;8:50:00;0.6306
EV15(1);18:00:00;8:00:00;0.6600
EV16(1);17:26:00;10:33:00;0.4500
EV17(1);18:00:00;9:21:00;0.4684
EV18(1);18:00:00;8:00:00;0.5498
EV19(1);18:00:00;8:45:00;0.5112
EV20(1);18:00:00;9:11:00;0.4730
EV21(1);18:00:00;8:04:00;0.6597
EV22(1);18:00:00;8:00:00;0.5977
EV23(1);18:00:00;8:40:00;0.6571
EV24(1);18:00:00;9:12:00;0.4865
EV25(1);18:00:00;8:28:00;0.4900
EV26(1);18:00:00;8:58:00;0.6077
EV27(1);18:00:00;8:00:00;0.5000
EV28(1);17:28:00;10:32:00;0.6500
EV29(1);18:00:00;9:27:00;0.6532
EV30(1);18:00:00;9:45:00;0.4864
EV31(1);17:28:00;10:31:00;0.6157
EV32(1);18:00:00;9:16:00;0.4709
EV33(1);18:00:00;8:03:00;0.6598
EV34(1);18:00:00;8:00:00;0.6600
EV35(1);18:00:00;8:00:00;0.5939
EV36(1);18:00:00;9:02:00;0.5301
EV37(1);18:00:00;8:39:00;0.4858
EV38(1);18:00:00;8:09:00;0.6593
EV39(1);18:00:00;9:07:00;0.6230
EV40(1);18:00:00;8:22:00;0.6482
EV41(1);18:00:00;8:57:00;0.6558
EV42(1);18:00:00;8:47:00;0.4827
EV43(1);18:00:00;9:47:00;0.6513
EV44(1);17:42:00;10:17:00;0.4500
EV45(1);17:04:00;10:55:00;0.6133
EV46(1);18:00:00;8:28:00;0.5817
EV47(1);18:00:00;9:20:00;0.5310
EV48(1);18:00:00;8:00:00;0.5000
EV49(1);18:00:00;8:00:00;0.6600
EV50(1);18:00:00;8:30:00;0.5961
EV51(1);18:00:00;8:00:00;0.5000
EV52(1);17:46:00;10:13:00;0.6389
EV53(1);18:00:00;9:03:00;0.6553
EV54(1);18:00:00;8:00:00;0.6600
EV55(1);18:00:00;8:00:00;0.5000

% Zone C
EV1(2);14:45:00;14:30:00;0.6500
EV2(2);14:44:00;14:28:00;0.6500
EV3(2);14:50:00;13:30:00;0.5375
EV4(2);14:15:00;14:00:00;0.6500
EV5(2);14:30:00;14:15:00;0.6500
EV6(2);14:30:00;14:15:00;0.6500
EV7(2);14:31:00;14:15:00;0.6500
EV8(2);14:31:00;14:15:00;0.6500
EV9(2);15:00:00;14:45:00;0.6500
EV10(2);15:06:00;14:45:00;0.6330
EV11(2);15:12:00;14:46:00;0.6150
EV12(2);15:18:00;14:46:00;0.5950
EV13(2);15:24:00;14:47:00;0.5800
EV14(2);18:00:00;8:50:00;0.6306
EV15(2);18:00:00;8:00:00;0.6600
EV16(2);17:26:00;10:33:00;0.4500
EV17(2);18:00:00;9:21:00;0.4684
EV18(2);18:00:00;8:00:00;0.5498
EV19(2);18:00:00;8:45:00;0.5112
EV20(2);18:00:00;9:11:00;0.4730
EV21(2);18:00:00;8:04:00;0.6597
EV22(2);18:00:00;8:00:00;0.5977
EV23(2);18:00:00;8:40:00;0.6571
EV24(2);18:00:00;9:12:00;0.4865
EV25(2);18:00:00;8:28:00;0.4900
EV26(2);18:00:00;8:58:00;0.6077
EV27(2);18:00:00;8:00:00;0.5000
EV28(2);17:28:00;10:32:00;0.6500
EV29(2);18:00:00;9:27:00;0.6532
EV30(2);18:00:00;9:45:00;0.4864
EV31(2);17:28:00;10:31:00;0.6157
EV32(2);18:00:00;9:16:00;0.4709
EV33(2);18:00:00;8:03:00;0.6598
EV34(2);18:00:00;8:00:00;0.6600
EV35(2);18:00:00;8:00:00;0.5939
EV36(2);18:00:00;9:02:00;0.5301
EV37(2);18:00:00;8:39:00;0.4858
EV38(2);18:00:00;8:09:00;0.6593
EV39(2);18:00:00;9:07:00;0.6230
EV40(2);18:00:00;8:22:00;0.6482
EV41(2);18:00:00;8:57:00;0.6558
EV42(2);18:00:00;8:47:00;0.4827
EV43(2);18:00:00;9:47:00;0.6513
EV44(2);17:42:00;10:17:00;0.4500
EV45(2);17:04:00;10:55:00;0.6133
EV46(2);18:00:00;8:28:00;0.5817
EV47(2);18:00:00;9:20:00;0.5310
EV48(2);18:00:00;8:00:00;0.5000
EV49(2);18:00:00;8:00:00;0.6600
EV50(2);18:00:00;8:30:00;0.5961
EV51(2);18:00:00;8:00:00;0.5000
EV52(2);17:46:00;10:13:00;0.6389
EV53(2);18:00:00;9:03:00;0.6553
EV54(2);18:00:00;8:00:00;0.6600
EV55(2);18:00:00;8:00:00;0.5000

% Zone D
EV1(3);14:45:00;14:30:00;0.6500
EV2(3);14:44:00;14:28:00;0.6500
EV3(3);14:50:00;13:30:00;0.5375
EV4(3);14:15:00;14:00:00;0.6500
EV5(3);14:30:00;14:15:00;0.6500
EV6(3);14:30:00;14:15:00;0.6500
EV7(3);14:31:00;14:15:00;0.6500
EV8(3);14:31:00;14:15:00;0.6500
EV9(3);15:00:00;14:45:00;0.6500
EV10(3);15:06:00;14:45:00;0.6330
EV11(3);15:12:00;14:46:00;0.6150
EV12(3);15:18:00;14:46:00;0.5950
EV13(3);15:24:00;14:47:00;0.5800
EV14(3);18:00:00;8:50:00;0.6306
EV15(3);18:00:00;8:00:00;0.6600
EV16(3);17:26:00;10:33:00;0.4500
EV17(3);18:00:00;9:21:00;0.4684
EV18(3);18:00:00;8:00:00;0.5498
EV19(3);18:00:00;8:45:00;0.5112
EV20(3);18:00:00;9:11:00;0.4730
EV21(3);18:00:00;8:04:00;0.6597
EV22(3);18:00:00;8:00:00;0.5977
EV23(3);18:00:00;8:40:00;0.6571
EV24(3);18:00:00;9:12:00;0.4865
EV25(3);18:00:00;8:28:00;0.4900
EV26(3);18:00:00;8:58:00;0.6077
EV27(3);18:00:00;8:00:00;0.5000
EV28(3);17:28:00;10:32:00;0.6500
EV29(3);18:00:00;9:27:00;0.6532
EV30(3);18:00:00;9:45:00;0.4864
EV31(3);17:28:00;10:31:00;0.6157
EV32(3);18:00:00;9:16:00;0.4709
EV33(3);18:00:00;8:03:00;0.6598
EV34(3);18:00:00;8:00:00;0.6600
EV35(3);18:00:00;8:00:00;0.5939
EV36(3);18:00:00;9:02:00;0.5301
EV37(3);18:00:00;8:39:00;0.4858
EV38(3);18:00:00;8:09:00;0.6593
EV39(3);18:00:00;9:07:00;0.6230
EV40(3);18:00:00;8:22:00;0.6482
EV41(3);18:00:00;8:57:00;0.6558
EV42(3);18:00:00;8:47:00;0.4827
EV43(3);18:00:00;9:47:00;0.6513
