All calculations;AC Voltage Source
"Time in s";"Active Power in kW"
50403.000000;3.963862
50403.005000;219.584473
50403.010000;435.236694
50403.016667;435.268814
50403.026667;435.271457
50403.036667;435.274541
50403.046667;435.277013
50403.056667;435.279374
50403.066667;435.281624
50403.076667;435.283782
50403.086667;435.285863
50403.096667;435.287882
50403.106667;435.289849
50403.116667;435.291774
50403.126667;435.293666
50403.136667;435.295532
50403.146667;435.297378
50403.156667;435.299209
50403.166667;435.301029
50403.176667;435.302841
50403.186667;435.304648
50403.196667;435.306452
50403.206667;435.308256
50403.216667;435.310060
50403.226667;435.311866
50403.236667;435.313675
50403.246667;435.315487
50403.256667;435.317303
50403.266667;435.319122
50403.276667;435.320946
50403.286667;435.322774
50403.296667;435.324606
50403.306667;435.326442
50403.316667;435.328282
50403.326667;435.330126
50403.336667;435.331974
50403.346667;435.333825
50403.356667;435.335679
50403.366667;435.337536
50403.376667;435.339396
50403.386667;435.341258
50403.396667;435.343123
50403.406667;435.344989
50403.416667;435.346857
50403.426667;435.348727
50403.436667;435.350599
50403.446667;435.352472
50403.456667;435.354346
50403.466667;435.356221
50403.476667;435.358096
50403.486667;435.359973
50403.496667;435.361850
50403.506667;435.363727
50403.516667;435.365605
50403.526667;435.367483
50403.536667;435.369362
50403.546667;435.371240
50403.556667;435.373119
50403.566667;435.374998
50403.576667;435.376876
50403.586667;435.378755
50403.596667;435.380633
50403.606667;435.382512
50403.616667;435.384390
50403.626667;435.386268
50403.636667;435.388146
50403.646667;435.390024
50403.656667;435.391902
50403.666667;435.393779
50403.676667;435.395656
50403.686667;435.397533
50403.696667;435.399409
50403.706667;435.401286
50403.716667;435.403162
50403.726667;435.405038
50403.736667;435.406913
50403.746667;435.408789
50403.756667;435.410664
50403.766667;435.412539
50403.776667;435.414413
50403.786667;435.416288
50403.796667;435.418162
50403.806667;435.420036
50403.816667;435.421910
50403.826667;435.423783
50403.836667;435.425657
50403.846667;435.427530
50403.856667;435.429403
50403.866667;435.431276
50403.876667;435.433148
50403.886667;435.435021
50403.896667;435.436893
50403.906667;435.438765
50403.916667;435.440637
50403.926667;435.442509
50403.936667;435.444381
50403.946667;435.446253
50403.956667;435.448124
50403.966667;435.449995
50403.976667;435.451867
50403.986667;435.453738
50403.996667;435.455609
50404.000000;435.456232
