All calculations;AC Voltage Source
"Time in s";"Active Power in kW"
64800.000000;70.922484
64800.005000;202.102182
64800.010000;333.287144
64800.016667;333.280176
64800.026667;333.280541
64800.036667;333.281076
64800.046667;333.281611
64800.056667;333.282146
64800.066667;333.282681
64800.076667;333.283216
64800.086667;333.283751
64800.096667;333.284285
64800.106667;333.284820
64800.116667;333.285355
64800.126667;333.285889
64800.136667;333.286424
64800.146667;333.286958
64800.156667;333.287493
64800.166667;333.288027
64800.176667;333.288561
64800.186667;333.289096
64800.196667;333.289630
64800.206667;333.290164
64800.216667;333.290698
64800.226667;333.291232
64800.236667;333.291766
64800.246667;333.292300
64800.256667;333.292834
64800.266667;333.293368
64800.276667;333.293902
64800.286667;333.294436
64800.296667;333.294970
64800.306667;333.295504
64800.316667;333.296038
64800.326667;333.296572
64800.336667;333.297106
64800.346667;333.297639
64800.356667;333.298173
64800.366667;333.298707
64800.376667;333.299241
64800.386667;333.299774
64800.396667;333.300308
64800.406667;333.300842
64800.416667;333.301376
64800.426667;333.301909
64800.436667;333.302443
64800.446667;333.302977
64800.456667;333.303511
64800.466667;333.304044
64800.476667;333.304578
64800.486667;333.305112
64800.496667;333.305645
64800.506667;333.306179
64800.516667;333.306713
64800.526667;333.307247
64800.536667;333.307780
64800.546667;333.308314
64800.556667;333.308848
64800.566667;333.309381
64800.576667;333.309915
64800.586667;333.310449
64800.596667;333.310982
64800.606667;333.311516
64800.616667;333.312050
64800.626667;333.312584
64800.636667;333.313117
64800.646667;333.313651
64800.656667;333.314185
64800.666667;333.314718
64800.676667;333.315252
64800.686667;333.315786
64800.696667;333.316319
64800.706667;333.316853
64800.716667;333.317387
64800.726667;333.317921
64800.736667;333.318454
64800.746667;333.318988
64800.756667;333.319522
64800.766667;333.320056
64800.776667;333.320589
64800.786667;333.321123
64800.796667;333.321657
64800.806667;333.322190
64800.816667;333.322724
64800.826667;333.323258
64800.836667;333.323792
64800.846667;333.324325
64800.856667;333.324859
64800.866667;333.325393
64800.876667;333.325927
64800.886667;333.326460
64800.896667;333.326994
64800.906667;333.327528
64800.916667;333.328062
64800.926667;333.328595
64800.936667;333.329129
64800.946667;333.329663
64800.956667;333.330197
64800.966667;333.330730
64800.976667;333.331264
64800.986667;333.331798
64800.996667;333.332332
64801.000000;333.332510
