All calculations;Battery EV1;Battery EV2;Battery EV3;Battery EV4;Battery EV5;Battery EV6;Battery EV7;Battery EV8;Battery EV9;Battery EV10;Battery EV11;Battery EV12;Battery EV13;Battery EV14;Battery EV15;Battery EV16;Battery EV17;Battery EV18;Battery EV19;Battery EV20;Battery EV21;Battery EV22;Battery EV23;Battery EV24;Battery EV25;Battery EV26;Battery EV27;Battery EV28;Battery EV29;Battery EV30;Battery EV31;Battery EV32;Battery EV33;Battery EV34;Battery EV35;Battery EV36;Battery EV37;Battery EV38;Battery EV39;Battery EV40;Battery EV41;Battery EV42;Battery EV43;Battery EV44;Battery EV45;Battery EV46;Battery EV47;Battery EV48;Battery EV49;Battery EV50;Battery EV51;Battery EV52;Battery EV53;Battery EV54;Battery EV55
"Time in s";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe";"soe"
67580.000000;0.318066;0.720167;0.601095;0.700000;0.700520;0.721029;0.700520;0.700520;0.345839;0.700520;0.700000;0.700000;0.700000;0.700000;0.700000;0.367204;0.700000;0.700000;0.260696;0.269923;0.700000;0.700000;0.700000;0.327088;0.700000;0.307707;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.280535;0.412447;0.700000;0.700000;0.300150;0.700000;0.700000;0.700000;0.699999;0.700000;0.700000;0.303307;0.700000;0.699999;0.700000;0.335045;0.700000;0.700000;0.700000;0.352706;0.298557;0.291071
67580.050000;0.318066;0.720167;0.601095;0.700000;0.700520;0.721029;0.700520;0.700520;0.345839;0.700520;0.700000;0.700000;0.700000;0.700000;0.700000;0.367204;0.700000;0.700000;0.260696;0.269923;0.700000;0.700000;0.700000;0.327088;0.700000;0.307707;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.280535;0.412447;0.700000;0.700000;0.300150;0.700000;0.700000;0.700000;0.699999;0.700000;0.700000;0.303307;0.700000;0.699999;0.700000;0.335045;0.700000;0.700000;0.700000;0.352706;0.298557;0.291071
67580.100000;0.318067;0.720167;0.601095;0.700000;0.700521;0.721029;0.700521;0.700521;0.345840;0.700521;0.700000;0.700000;0.700000;0.700000;0.700000;0.367204;0.700000;0.700000;0.260697;0.269924;0.700000;0.700000;0.700000;0.327089;0.700000;0.307708;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.280536;0.412447;0.700000;0.700000;0.300151;0.700000;0.700000;0.700000;0.699999;0.700000;0.700000;0.303308;0.700000;0.699999;0.700000;0.335046;0.700000;0.700000;0.700000;0.352706;0.298558;0.291072
67580.166667;0.318067;0.720167;0.601095;0.700000;0.700523;0.721029;0.700523;0.700523;0.345840;0.700523;0.700000;0.700000;0.700000;0.700000;0.700000;0.367205;0.700000;0.700000;0.260698;0.269924;0.700000;0.700000;0.700000;0.327089;0.700000;0.307708;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.280536;0.412447;0.700000;0.700000;0.300151;0.700000;0.700000;0.700000;0.699999;0.700000;0.700000;0.303308;0.700000;0.699999;0.700000;0.335046;0.700000;0.700000;0.700000;0.352707;0.298558;0.291072
67580.266667;0.318068;0.720167;0.601096;0.700000;0.700525;0.721029;0.700525;0.700525;0.345841;0.700525;0.700000;0.700000;0.700000;0.700000;0.700000;0.367205;0.700000;0.700000;0.260699;0.269926;0.700000;0.700000;0.700000;0.327090;0.700000;0.307709;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.280537;0.412448;0.700000;0.700000;0.300152;0.700000;0.700000;0.700000;0.699999;0.700000;0.700000;0.303309;0.700000;0.699999;0.700000;0.335047;0.700000;0.700000;0.700000;0.352708;0.298559;0.291073
67580.366667;0.318069;0.720167;0.601096;0.700000;0.700527;0.721029;0.700527;0.700527;0.345841;0.700527;0.700000;0.700000;0.700000;0.700000;0.700000;0.367206;0.700000;0.700000;0.260700;0.269927;0.700000;0.700000;0.700000;0.327091;0.700000;0.307710;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.280538;0.412448;0.700000;0.700000;0.300153;0.700000;0.700000;0.700000;0.699999;0.700000;0.700000;0.303310;0.700000;0.699999;0.700000;0.335047;0.700000;0.700000;0.700000;0.352708;0.298560;0.291074
67580.466667;0.318070;0.720167;0.601096;0.700000;0.700529;0.721029;0.700529;0.700529;0.345842;0.700529;0.700000;0.700000;0.700000;0.700000;0.700000;0.367207;0.700000;0.700000;0.260701;0.269928;0.700000;0.700000;0.700000;0.327091;0.700000;0.307711;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.280539;0.412449;0.700000;0.700000;0.300154;0.700000;0.700000;0.700000;0.699999;0.700000;0.700000;0.303311;0.700000;0.699999;0.700000;0.335048;0.700000;0.700000;0.700000;0.352709;0.298561;0.291075
67580.566667;0.318070;0.720167;0.601097;0.700000;0.700531;0.721029;0.700531;0.700531;0.345843;0.700531;0.700000;0.700000;0.700000;0.700000;0.700000;0.367207;0.700000;0.700000;0.260702;0.269929;0.700000;0.700000;0.700000;0.327092;0.700000;0.307712;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.280540;0.412449;0.700000;0.700000;0.300155;0.700000;0.700000;0.700000;0.699999;0.700000;0.700000;0.303312;0.700000;0.699999;0.700000;0.335049;0.700000;0.700000;0.700000;0.352709;0.298562;0.291076
67580.666667;0.318071;0.720167;0.601097;0.700000;0.700533;0.721029;0.700533;0.700533;0.345843;0.700533;0.700000;0.700000;0.700000;0.700000;0.700000;0.367208;0.700000;0.700000;0.260703;0.269930;0.700000;0.700000;0.700000;0.327093;0.700000;0.307713;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.700000;0.280541;0.412449;0.700000;0.700000;0.300155;0.700000;0.700000;0.700000;0.699999;0.700000;0.700000;0.303313;0.700000;0.699999;0.700000;0.335050;0.700000;0.700000;0.700000;0.352710;0.298563;0.291077
