All calculations;AC Voltage Source
"Time in s";"Active Power in kW"
50457.000000;-550.351485
50457.005000;-197.233931
50457.010000;155.911266
50457.016667;155.940438
50457.026667;155.940171
50457.036667;155.940135
50457.046667;155.940093
50457.056667;155.940055
50457.066667;155.940020
50457.076667;155.939987
50457.086667;155.939955
50457.096667;155.939924
50457.106667;155.939896
50457.116667;155.939868
50457.126667;155.939843
50457.136667;155.939818
50457.146667;155.939795
50457.156667;155.939774
50457.166667;155.939754
50457.176667;155.939735
50457.186667;155.939717
50457.196667;155.939701
50457.206667;155.939686
50457.216667;155.939673
50457.226667;155.939660
50457.236667;155.939648
50457.246667;155.939638
50457.256667;155.939629
50457.266667;155.939620
50457.276667;155.939613
50457.286667;155.939606
50457.296667;155.939601
50457.306667;155.939596
50457.316667;155.939592
50457.326667;155.939588
50457.336667;155.939585
50457.346667;155.939583
50457.356667;155.939581
50457.366667;155.939580
50457.376667;155.939579
50457.386667;155.939579
50457.396667;155.939579
50457.406667;155.939580
50457.416667;155.939580
50457.426667;155.939581
50457.436667;155.939583
50457.446667;155.939584
50457.456667;155.939586
50457.466667;155.939588
50457.476667;155.939590
50457.486667;155.939592
50457.496667;155.939594
50457.506667;155.939597
50457.516667;155.939599
50457.526667;155.939602
50457.536667;155.939604
50457.546667;155.939607
50457.556667;155.939610
50457.566667;155.939612
50457.576667;155.939615
50457.586667;155.939617
50457.596667;155.939620
50457.606667;155.939623
50457.616667;155.939625
50457.626667;155.939628
50457.636667;155.939630
50457.646667;155.939633
50457.656667;155.939635
50457.666667;155.939637
50457.676667;155.939640
50457.686667;155.939642
50457.696667;155.939644
50457.706667;155.939646
50457.716667;155.939648
50457.726667;155.939650
50457.736667;155.939652
50457.746667;155.939654
50457.756667;155.939656
50457.766667;155.939658
50457.776667;155.939659
50457.786667;155.939661
50457.796667;155.939663
50457.806667;155.939664
50457.816667;155.939666
50457.826667;155.939667
50457.836667;155.939669
50457.846667;155.939670
50457.856667;155.939671
50457.866667;155.939672
50457.876667;155.939674
50457.886667;155.939675
50457.896667;155.939676
50457.906667;155.939677
50457.916667;155.939678
50457.926667;155.939679
50457.936667;155.939680
50457.946667;155.939681
50457.956667;155.939681
50457.966667;155.939682
50457.976667;155.939683
50457.986667;155.939684
50457.996667;155.939685
50458.000000;155.939685
